participant_id,group,scenario,trustworthiness,competence,likeability,warmth,interact_again,percieved_dialect,home_region,dialectal_background,age,gender,previous_experience,condition,actual_dialect,condition_label
P01,g1,s1,2,2,1,4,2,syntetisk/tts-röst,uppsala,uppsaladialekt,21,man,3,c2,rikssvenska (c2),Rikssvenska
P02,g1,s1,4,5,4,4,5,ingen specifik dialekt,"småland, växjö",småländska,19,kvinna,4,c2,rikssvenska (c2),Rikssvenska
P03,g1,s1,5,5,4,4,5,syntetisk/tts-röst,uppsala,uppsaladialekt,29,man,2,c2,rikssvenska (c2),Rikssvenska
P04,g2,s1,4,5,2,3,5,skånsk,uppsala,uppsaladialekt,25,man,1,c1,tts (c1),TTS
P05,g2,s1,4,3,2,3,3,syntetisk/tts-röst,stockholm,stockholmsdialekt,20,kvinna,3,c1,tts (c1),TTS
P06,g2,s1,4,5,3,4,4,skånsk,stockholm,stockholmsdialekt,23,man,1,c1,tts (c1),TTS
P07,g3,s1,3,3,2,2,1,rikssvenska,uppland,uppsaladialekt,19,man,2,c3,skånska (c3),Skånska
P08,g3,s1,4,5,3,2,4,stockholmsdialekt,stockholm,stockholmsdialekt,20,kvinna,2,c3,skånska (c3),Skånska
P09,g3,s1,4,3,4,4,4,rikssvenska,uppland,rikssvenska,27,man,2,c3,skånska (c3),Skånska
P10,g1,s1,4,4,2,3,2,syntetisk/tts-röst,södermanland,ingen specifik dialekt,19,kvinna,3,c2,rikssvenska (c2),Rikssvenska
P11,g2,s1,5,5,3,4,4,skånsk,stockholm,rikssvenska,24,man,3,c1,tts (c1),TTS
P12,g3,s1,5,3,3,3,4,stockholmsdialekt,uppsala,stockholmsdialekt,22,kvinna,3,c3,skånska (c3),Skånska
P13,g1,s1,4,4,1,2,3,syntetisk/tts-röst,stockholm,rikssvenska,21,kvinna,1,c2,rikssvenska (c2),Rikssvenska
P14,g2,s1,5,5,4,4,4,syntetisk/tts-röst,dalarna,dalmål,20,kvinna,2,c1,tts (c1),TTS
P15,g3,s1,4,5,4,3,4,ingen specifik dialekt,jämtland,norrländska,23,kvinna,2,c3,skånska (c3),Skånska
P01,g1,s2,1,1,4,4,2,ingen specifik dialekt,uppsala,uppsaladialekt,21,man,3,c3,skånska (c3),Skånska
P02,g1,s2,3,4,2,3,3,ingen specifik dialekt,"småland, växjö",småländska,19,kvinna,4,c3,skånska (c3),Skånska
P03,g1,s2,5,5,5,5,5,rikssvenska,uppsala,uppsaladialekt,29,man,2,c3,skånska (c3),Skånska
P04,g2,s2,4,4,2,1,1,syntetisk/tts-röst,uppsala,uppsaladialekt,25,man,1,c2,rikssvenska (c2),Rikssvenska
P05,g2,s2,4,4,4,4,4,vet ej,stockholm,stockholmsdialekt,20,kvinna,3,c2,rikssvenska (c2),Rikssvenska
P06,g2,s2,5,4,2,2,4,vet ej,stockholm,stockholmsdialekt,23,man,1,c2,rikssvenska (c2),Rikssvenska
P07,g3,s2,2,2,3,3,1,skånsk,uppland,uppsaladialekt,19,man,2,c1,skånska (c3),TTS
P08,g3,s2,5,5,5,5,5,skånsk,stockholm,stockholmsdialekt,20,kvinna,2,c1,skånska (c3),TTS
P09,g3,s2,2,3,5,4,5,skånsk,uppland,rikssvenska,27,man,2,c1,skånska (c3),TTS
P10,g1,s2,4,5,3,4,4,rikssvenska,södermanland,ingen specifik dialekt,19,kvinna,3,c3,skånska (c3),Skånska
P11,g2,s2,4,4,2,1,3,syntetisk/tts-röst,stockholm,rikssvenska,24,man,3,c2,rikssvenska (c2),Rikssvenska
P12,g3,s2,4,4,2,2,2,vet ej,uppsala,stockholmsdialekt,22,kvinna,3,c1,skånska (c3),TTS
P13,g1,s2,4,4,2,1,4,rikssvenska,stockholm,rikssvenska,21,kvinna,1,c3,skånska (c3),Skånska
P14,g2,s2,5,5,3,2,4,syntetisk/tts-röst,dalarna,dalmål,20,kvinna,2,c2,rikssvenska (c2),Rikssvenska
P15,g3,s2,4,5,4,3,4,skånsk,jämtland,norrländska,23,kvinna,2,c1,skånska (c3),TTS
P01,g1,s3,4,5,5,5,4,skånsk,uppsala,uppsaladialekt,21,man,3,c3,skånska (c3),Skånska
P02,g1,s3,5,5,5,4,5,skånsk,"småland, växjö",småländska,19,kvinna,4,c3,skånska (c3),Skånska
P03,g1,s3,5,5,5,4,5,skånsk,uppsala,uppsaladialekt,29,man,2,c3,skånska (c3),Skånska
P04,g2,s3,5,5,3,2,3,stockholmsdialekt,uppsala,uppsaladialekt,25,man,1,c2,rikssvenska (c2),Rikssvenska
P05,g2,s3,4,4,4,3,4,värmländska,stockholm,stockholmsdialekt,20,kvinna,3,c2,rikssvenska (c2),Rikssvenska
P06,g2,s3,4,4,3,4,5,rikssvenska,stockholm,stockholmsdialekt,23,man,1,c2,rikssvenska (c2),Rikssvenska
P07,g3,s3,1,1,1,1,1,syntetisk/tts-röst,uppland,uppsaladialekt,19,man,2,c1,tts (c1),TTS
P08,g3,s3,3,4,1,1,1,syntetisk/tts-röst,stockholm,stockholmsdialekt,20,kvinna,2,c1,tts (c1),TTS
P09,g3,s3,2,4,2,2,3,syntetisk/tts-röst,uppland,rikssvenska,27,man,2,c1,tts (c1),TTS
P10,g1,s3,3,3,4,4,3,skånsk,södermanland,ingen specifik dialekt,19,kvinna,3,c3,skånska (c3),Skånska
P11,g2,s3,5,4,3,4,5,rikssvenska,stockholm,rikssvenska,24,man,3,c2,rikssvenska (c2),Rikssvenska
P12,g3,s3,2,3,1,1,2,syntetisk/tts-röst,uppsala,stockholmsdialekt,22,kvinna,3,c1,tts (c1),TTS
P13,g1,s3,2,2,3,4,2,skånsk,stockholm,rikssvenska,21,kvinna,1,c3,skånska (c3),Skånska
P14,g2,s3,5,4,5,5,4,rikssvenska,dalarna,dalmål,20,kvinna,2,c2,rikssvenska (c2),Rikssvenska
P15,g3,s3,2,3,2,2,2,syntetisk/tts-röst,jämtland,norrländska,23,kvinna,2,c1,tts (c1),TTS
